team_id,player_name,fg_pct,ft_pct,rpg,apg,position,two_pt_pct,three_pt_pct,minutes_pg,ppg,fta_pg,usage_rate
celtics_65,B. Russell,43.8,57.3,24.1,5.3,C,45.0,33.0,44.0,14.1,5.5,14.7
celtics_65,S. Jones,45.2,82.0,5.1,2.8,SG,45.0,33.0,36.0,25.9,6.5,29.9
celtics_65,K. Jones,39.6,63.0,4.1,5.6,PG,45.0,33.0,31.0,8.3,2.9,10.0
celtics_65,T. Sanders,42.9,74.5,8.3,1.2,PF,45.0,33.0,31.0,11.8,3.2,12.3
celtics_65,J. Havlicek,40.1,74.4,4.9,2.7,SG,45.0,33.0,29.0,18.3,4.2,21.1
celtics_65,T. Heinsohn,38.3,79.5,6.0,2.3,SF,45.0,33.0,26.0,13.6,3.4,15.0
celtics_65,W. Naulls,38.4,81.3,4.7,1.0,SF,45.0,33.0,21.0,10.5,2.5,11.5
celtics_65,L. Siegfried,41.5,77.9,1.9,1.7,SG,45.0,33.0,14.0,6.3,1.9,10.0
celtics_65,J. Thompson,40.2,59.0,3.6,0.3,PF,45.0,33.0,11.0,3.6,1.6,10.0
celtics_65,M. Counts,36.8,78.4,4.9,0.4,C,45.0,33.0,11.0,4.8,1.4,10.0
celtics_65,R. Bonham,41.4,82.1,2.1,0.5,SF,45.0,33.0,10.0,7.4,3.0,10.0
celtics_65,G. Ward,11.1,100.0,1.7,2.0,SG,45.0,33.0,10.0,1.7,0.3,10.0
celtics_65,B. Nordmann,60.0,75.0,2.7,1.0,C,45.0,33.0,8.0,2.0,0.0,10.0
celtics_86,L. Bird,49.6,89.6,9.8,6.8,SF,50.6,42.3,38.0,25.8,6.0,28.4
celtics_86,K. McHale,57.4,77.6,8.1,2.7,PF,57.4,33.0,35.0,21.3,6.2,22.3
celtics_86,D. Johnson,45.5,81.8,3.4,5.8,PG,46.8,14.3,35.0,15.6,3.8,18.0
celtics_86,R. Parish,54.9,73.1,9.5,1.8,C,54.9,33.0,32.0,16.1,4.1,16.8
celtics_86,D. Ainge,50.4,90.4,2.9,5.1,SG,52.1,35.6,30.0,10.7,1.7,12.4
